Sample File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,,,,,,,IBM,,,,,,,GOOGL,,,,,,,CSCO,,,,,,,ADM,,,,,,,NKE,,,,,
Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume
2000-10-10,1402.030029,1408.829956,1383.849976,1387.02002,1044000000,,2000-10-10,116.625,117.125,112.4375,114.875,5614200,,,,,,,,,2000-10-10,116.625,117.125,112.4375,87.203922,5614200,,2000-10-10,9.499999,9.625,9.4375,6.575115,1922800,,2000-10-10,39.25,40.5625,39,4.14744,6661600
2000-10-09,1408.98999,1409.689941,1392.47998,1402.030029,716600000,,2000-10-09,115.9375,119.375,114.3125,117.9375,4898000,,,,,,,,,2000-10-09,115.9375,119.375,114.3125,89.528728,4898000,,2000-10-09,9.4375,9.562499,9.4375,6.531858,2235900,,2000-10-09,39.6875,39.6875,38,4.075594,7100800
2000-10-06,1436.280029,1443.300049,1397.060059,1408.98999,1150100000,,2000-10-06,114,116.125,112.75,116,6108400,,,,,,,,,2000-10-06,114,116.125,112.75,88.057932,6108400,,2000-10-06,9.375,9.4375,9.1875,6.4886,2661100,,2000-10-06,43.0625,43.0625,39.5,4.14744,5553600
2000-10-05,1434.319946,1444.170044,1431.800049,1436.280029,1176100000,,2000-10-05,113.8125,114.5625,111.5625,113.1875,5547000,,,,,,,,,2000-10-05,113.8125,114.5625,111.5625,85.922907,5547000,,2000-10-05,8.999999,9.312499,8.9375,6.358828,2821600,,2000-10-05,40.8125,43.5,40.75,4.493604,6759200
2000-10-04,1426.459961,1439.98999,1416.310059,1434.319946,1167400000,,2000-10-04,110.375,114.875,108.5625,114.375,11668900,,,,,,,,,2000-10-04,110.375,114.875,108.5625,86.824362,11668900,,2000-10-04,9.0625,9.125,8.9375,6.185799,2046700,,2000-10-04,41.4375,41.4375,40.4375,4.251942,5820000
2000-10-03,1436.22998,1454.819946,1425.280029,1426.459961,1098100000,,2000-10-03,118.875,119.375,110,110.5625,11744200,,,,,,,,,2000-10-03,118.875,119.375,110,83.930217,11744200,,2000-10-03,9.125,9.375,8.9375,6.315571,2696700,,2000-10-03,40.375,41.9375,40.1875,4.33685,6312800
2000-10-02,1436.52002,1445.599976,1429.829956,1436.22998,1051200000,,2000-10-02,112.625,119.625,112.625,117.8125,8872200,,,,,,,,,2000-10-02,112.625,119.625,112.625,89.433838,8872200,,2000-10-02,8.8125,9.125,8.625,6.315571,3271100,,2000-10-02,40.0625,40.75,39.875,4.180097,3840800
2000-09-29,1458.290039,1458.290039,1436.290039,1436.51001,1197100000,,2000-09-29,115.5,116.9375,110.25,112.625,9594600,,,,,,,,,2000-09-29,115.5,116.9375,110.25,85.495902,9594600,,2000-09-29,8.437499,8.8125,8.437499,5.969512,2601400,,2000-09-29,40.125,40.3125,39.8125,4.186628,4827200
2000-09-28,1426.569946,1461.689941,1425.780029,1458.290039,1206200000,,2000-09-28,117.375,118.875,115,115.25,5309100,,,,,,,,,2000-09-28,117.375,118.875,115,87.488592,5309100,,2000-09-28,8.625,8.6875,8.187499,5.796483,3786800,,2000-09-28,39.9375,40.75,39.8125,4.193159,7882400
2000-09-27,1427.209961,1437.219971,1419.439941,1426.569946,1174700000,,2000-09-27,120.0625,120.3125,115.5,118,5948900,,,,,,,,,2000-09-27,120.0625,120.3125,115.5,89.576173,5948900,,2000-09-27,8.437499,8.625,8.375,5.969512,1871200,,2000-09-27,40.25,40.375,39.625,4.167034,7603200
2000-09-26,1439.030029,1448.040039,1425.25,1427.209961,1106600000,,2000-09-26,120,121.875,118.375,119.125,6217200,,,,,,,,,2000-09-26,120,121.875,118.375,90.430183,6217200,,2000-09-26,8.437499,8.499999,8.25,5.83974,4475200,,2000-09-26,40.4375,40.5,39.875,4.186628,6327200
2000-09-25,1448.719971,1457.420044,1435.930054,1439.030029,982400000,,2000-09-25,124.5,126.625,121,123,4291000,,,,,,,,,2000-09-25,124.5,126.625,121,93.371773,4291000,,2000-09-25,8.499999,8.5625,8.187499,5.753225,1428700,,2000-09-25,39.5625,40.25,39.375,4.199691,7001600
